Class,Label,Pixel Count,Area (km²)
73,Unknown,10070,6.993055555555556e-09
78,Unknown,9981,6.931250000000001e-09
72,Unknown,9934,6.898611111111112e-09
81,Unknown,9926,6.893055555555556e-09
80,Permanent water bodies,9913,6.884027777777778e-09
76,Unknown,9869,6.853472222222223e-09
88,Unknown,9821,6.8201388888888894e-09
89,Unknown,9773,6.786805555555557e-09
79,Unknown,9715,6.746527777777779e-09
85,Unknown,9655,6.704861111111112e-09
84,Unknown,9649,6.700694444444445e-09
83,Unknown,9626,6.684722222222223e-09
77,Unknown,9557,6.636805555555556e-09
82,Unknown,9544,6.627777777777779e-09
87,Unknown,9499,6.596527777777778e-09
86,Unknown,9468,6.575000000000001e-09
91,Unknown,9408,6.533333333333334e-09
90,Herbaceous wetland,9405,6.531250000000001e-09
92,Unknown,9196,6.386111111111112e-09
93,Unknown,8788,6.102777777777778e-09
94,Unknown,8718,6.054166666666667e-09
95,Mangroves,8538,5.929166666666668e-09
97,Unknown,8424,5.850000000000001e-09
